id;lat;long
246;-22.9606469;-43.1905898
247;-22.9601369;-43.190618
248;-22.9586623;-43.2000103
249;-22.9602284;-43.2040149
250;-22.9602744;-43.2032556
251;-22.9594892;-43.2010265
252;-22.958967;-43.2000617
253;-22.9563669;-43.1983159
254;-22.9576144;-43.199257
255;-22.9577175;-43.1991088
256;-22.9597526;-43.1980129
257;-22.9586628;-43.1985724
258;-22.9585093;-43.1986475
259;-22.9581977;-43.1965994
260;-22.9580741;-43.1959562
261;-22.9553432;-43.1889055
262;-22.9557989;-43.1899459
263;-22.9547571;-43.1904314
264;-22.9536416;-43.1906531
265;-22.9570056;-43.1881116
266;-22.9500463;-43.1910548
267;-22.953915;-43.1914311
268;-22.9479966;-43.185908
269;-22.9461292;-43.1856251
270;-22.943602;-43.1852421
271;-22.9435476;-43.1858635
272;-22.9468568;-43.1869598
273;-22.9472334;-43.1880801
274;-22.951515;-43.1825274
275;-22.9507625;-43.1815436
276;-22.9521473;-43.1822242
277;-22.9575586;-43.1842111
278;-22.9544065;-43.181125
279;-22.9560822;-43.1849486
280;-22.9558787;-43.1803535
281;-22.9560872;-43.1777876
282;-22.9477381;-43.1870929
283;-22.8975335;-43.2117528
284;-22.8900547;-43.2157626
285;-22.8886286;-43.2217485
286;-22.8886804;-43.2222641
287;-22.8857361;-43.2254612
288;-22.885143;-43.2283312
289;-22.8506028;-43.2472488
290;-22.8173357;-43.2866599
291;-22.8142539;-43.2953368
292;-22.8198092;-43.3136107
293;-22.8354793;-43.3617905
294;-22.8495029;-43.3840001
295;-22.8629052;-43.4137067
296;-22.856416;-43.4762705
297;-22.8806453;-43.6322213
298;-22.8954772;-43.6817898
299;-22.90572;-43.6926713
300;-22.9092077;-43.69384
301;-22.8838877;-43.642825
302;-22.8628212;-43.5601205
303;-22.8551705;-43.4841
304;-22.8535824;-43.3944578
305;-22.8487163;-43.3828472
306;-22.8376778;-43.3650408
307;-22.8195336;-43.3104122
308;-22.8165372;-43.304573
309;-22.8145246;-43.2942599
310;-22.8648873;-43.2479838
311;-22.9386363;-43.193811
312;-22.8910575;-43.2170686
313;-22.8699389;-43.5995637
314;-22.8626617;-43.5600655
315;-22.8643634;-43.5663459
316;-22.864005;-43.5639198
